iter	Logloss
0	0.641848786
1	0.5980581974
2	0.5619611107
3	0.5303088245
4	0.5035156204
5	0.4816010518
6	0.4623557883
7	0.4450389269
8	0.4301797027
9	0.4167892664
10	0.4048156843
11	0.395115474
12	0.3858602089
13	0.3779970718
14	0.3701574477
15	0.3633717608
16	0.3568799575
17	0.3515189236
18	0.3465580576
19	0.3420442351
20	0.3379136965
21	0.3347250804
22	0.3315685834
23	0.3286481355
24	0.3259049994
25	0.3236839309
26	0.3213968158
27	0.3202633923
28	0.3183213303
29	0.316623485
30	0.3151067775
31	0.3135068382
32	0.3123751786
33	0.3109975905
34	0.3096107691
35	0.308361386
36	0.3075722109
37	0.3066864703
38	0.3058886118
39	0.3050142385
40	0.3038061765
41	0.3028930653
42	0.3018276162
43	0.301034083
44	0.3005352507
45	0.2998832842
46	0.2991353345
47	0.2985189046
48	0.2978295938
49	0.2972719502
50	0.2967996101
51	0.2962220578
52	0.2959415822
53	0.2952531331
54	0.2949730074
55	0.2945353925
56	0.2941826782
57	0.2936721733
58	0.2933190919
59	0.293013591
60	0.2926236663
61	0.2922774676
62	0.2918218413
63	0.2914603676
64	0.2912003189
65	0.2908017722
66	0.2905261237
67	0.2898648076
68	0.2895638618
69	0.2890029543
70	0.2886248113
71	0.2883076733
72	0.2880808577
73	0.28771048
74	0.2872278105
75	0.2868833455
76	0.2866336379
77	0.2863166774
78	0.285873186
79	0.2854581443
80	0.2851476884
81	0.2847845777
82	0.2846359856
83	0.2843753931
84	0.2841904354
85	0.2838577704
86	0.2837380353
87	0.2833862984
88	0.2832734174
89	0.2830258425
90	0.2827146842
91	0.2823967148
92	0.2821386695
93	0.281982836
94	0.2818315789
95	0.2814223659
96	0.2812595377
97	0.2810105659
98	0.2809856539
99	0.2807864511
