iter	Passed	Remaining
0	40	4003
1	87	4301
2	227	7342
3	310	7453
4	361	6861
5	405	6346
6	451	6000
7	501	5765
8	553	5592
9	601	5416
10	646	5231
11	689	5053
12	730	4888
13	775	4765
14	821	4654
15	871	4574
16	912	4453
17	951	4335
18	1002	4274
19	1051	4205
20	1093	4114
21	1118	3963
22	1161	3887
23	1206	3820
24	1255	3766
25	1299	3697
26	1338	3618
27	1361	3501
28	1402	3433
29	1445	3372
30	1490	3318
31	1533	3258
32	1576	3201
33	1615	3135
34	1655	3075
35	1696	3016
36	1743	2967
37	1798	2934
38	1933	3024
39	2007	3011
40	2047	2947
41	2087	2883
42	2128	2822
43	2170	2761
44	2212	2703
45	2258	2651
46	2299	2592
47	2339	2534
48	2381	2479
49	2422	2422
50	2474	2377
51	2521	2327
52	2560	2270
53	2601	2215
54	2642	2162
55	2681	2106
56	2726	2056
57	2758	1997
58	2797	1944
59	2836	1891
60	2876	1838
61	2914	1786
62	2966	1742
63	3012	1694
64	3051	1643
65	3094	1594
66	3140	1546
67	3186	1499
68	3230	1451
69	3272	1402
70	3311	1352
71	3354	1304
72	3382	1251
73	3425	1203
74	3472	1157
75	3512	1109
76	3554	1061
77	3594	1013
78	3632	965
79	3676	919
80	3720	872
81	3759	825
82	3776	773
83	3816	726
84	3856	680
85	3898	634
86	3942	589
87	3990	544
88	4031	498
89	4072	452
90	4112	406
91	4159	361
92	4199	316
93	4241	270
94	4280	225
95	4325	180
96	4366	135
97	4405	89
98	4425	44
99	4465	0
